,FH
2023-08-29 14:26:45,34.4042
2023-08-29 14:27:00,34.420845
2023-08-29 14:27:15,34.521206
2023-08-29 14:27:30,34.594852
2023-08-29 14:27:45,34.448383
2023-08-29 14:28:00,34.454727
2023-08-29 14:28:15,34.421875
2023-08-29 14:28:30,34.50053
2023-08-29 14:28:45,34.558395
2023-08-29 14:29:00,34.422283
2023-08-29 14:29:15,34.431038
2023-08-29 14:29:30,34.47995
2023-08-29 14:29:45,34.416924
2023-08-29 14:30:00,34.50722
2023-08-29 14:30:15,34.4907
2023-08-29 14:30:30,34.525383
2023-08-29 14:30:45,34.45308
2023-08-29 14:31:00,34.510017
2023-08-29 14:31:15,34.45846
2023-08-29 14:31:30,34.407623
2023-08-29 14:31:45,34.511757
2023-08-29 14:32:00,34.486374
2023-08-29 14:32:15,34.522842
2023-08-29 14:32:30,34.428356
2023-08-29 14:32:45,34.46775
2023-08-29 14:33:00,34.45301
2023-08-29 14:33:15,34.461266
2023-08-29 14:33:30,34.486095
2023-08-29 14:33:45,34.46078
2023-08-29 14:34:00,34.404667
2023-08-29 14:34:15,34.465954
2023-08-29 14:34:30,34.49471
2023-08-29 14:34:45,34.461952
2023-08-29 14:35:00,34.469116
2023-08-29 14:35:15,34.47459
2023-08-29 14:35:30,34.503696
2023-08-29 14:35:45,34.439747
2023-08-29 14:36:00,34.50464
2023-08-29 14:36:15,34.490604
2023-08-29 14:36:30,34.464806
2023-08-29 14:36:45,34.475834
2023-08-29 14:37:00,34.4658
2023-08-29 14:37:15,34.465443
2023-08-29 14:37:30,34.483936
2023-08-29 14:37:45,34.494072
2023-08-29 14:38:00,34.469036
2023-08-29 14:38:15,34.51767
2023-08-29 14:38:30,34.546047
2023-08-29 14:38:45,34.525963
2023-08-29 14:39:00,34.41914
2023-08-29 14:39:15,34.418293
2023-08-29 14:39:30,34.44961
2023-08-29 14:39:45,34.47661
2023-08-29 14:40:00,34.437798
2023-08-29 14:40:15,34.447598
2023-08-29 14:40:30,34.454647
2023-08-29 14:40:45,34.465904
2023-08-29 14:41:00,34.523018
2023-08-29 14:41:15,34.486942
2023-08-29 14:41:30,34.440617
2023-08-29 14:41:45,34.41675
2023-08-29 14:42:00,34.499466
2023-08-29 14:42:15,34.488136
2023-08-29 14:42:30,34.43919
2023-08-29 14:42:45,34.457603
2023-08-29 14:43:00,34.517437
2023-08-29 14:43:15,34.42183
2023-08-29 14:43:30,34.50255
2023-08-29 14:43:45,34.41769
2023-08-29 14:44:00,34.411182
